Merk,Model,Tahun,Baterai_kWh,Range_km,Daya_hp,Harga_Juta
BYD,Atto 3,2026,60.5,480,201,515
BYD,Seal,2026,82.5,650,523,750
Wuling,Air EV,2026,26.7,300,41,190
Wuling,Binguo EV,2026,31.0,333,67,258
Hyundai,Ioniq 5,2026,77.4,550,217,785
Hyundai,Ioniq 6,2026,77.4,610,321,1090
Tesla,Model 3,2026,78.0,629,283,1290
Tesla,Model Y,2026,78.0,533,456,1690
Chery,Omoda 5,2026,61.0,450,201,485
MG,4 EV,2026,61.0,425,174,475
Neta,V,2026,51.0,401,161,379
BMW,i4,2026,83.9,590,335,1450
Mercedes,EQA,2026,70.5,495,188,1100
Kia,EV5,2026,82.0,540,215,689
Toyota,bZ4X,2026,71.4,500,201,1150
Honda,e:N1,2026,68.8,500,201,850
